ReviewID,Username,ReviewText,Likes
22,@reighz,please make another video on all the best bases for each townhall please!!!,0
23,@vactorbs,"I don't have rc and if I will get the electro boots , will it be available when I will get the rc ? Please answer!",0
24,@Virgo-p1u,This is WOULD be cool i I COULD OPEN MY COC,1
25,@evanmcdonald3183,"Judo,  when are the new bases coming out",0
26,@DaPilipinoBacon,"Ngl, I doubted the electro boots. I wasnt gonna buy it, but after seeing the stats, I need it",0
27,@fardin4243,4:45 as a f2p i have the three of these equipment and especially i mean only these three no other,1
28,@Benjamin-g4q1m,Where’s the snow?!? ️ I’m not using my Jolly hero skins until there’s snow.,0
29,@Syauqi_26,"In my opinion, I think the best combination is electro boots and haste vial",0
30,@mattwright6622,Be cool if we could view clans mates equipment in their profile like how we can view troops and hero’s,0
31,@Mrmm106,Your video is  superb,0
32,@mrmcnut7214,Do the presents stay on your base after the event from the spell?,0
33,@shimulmia1954,Always give the information easily understandable thanks judo,0
34,@shimulmia1954,Always give the information easily understandable thanks judo,0
35,@Lexicaldelight,"Guyz looking for a level 20 plus clan ,if any leader or co check this comment then communicate please",0
36,@simehad46,"It's disappointing that they used to give us 5250 event credits back then but now only 3900, ain't even enough to get the 2nd deco.",0
37,@upland5658,"Great video Judo, keep up the good work. Question, how screwed am I as a th12 in legends league who does not have everything maxed out yet??",0
38,@Saika5140,"Finally i can use Cookie and Ram Rider since when it's first came out, i didn't play COC for awhile.",0
39,@Phankes,Do you know what happens if we get an epic weapon for a hero when we already have it? Does it convert to ores?,0
40,@heyitsnick6648,is the hero equipment going to random for everyone? Or will it be what you shown? Thanks for the vid JUDO,0
41,@ChillistGuy24_7,Well ig ill just be getting the decorations the epic equipment is meh im a collector rather have the decorations than the epic equipment.,0
42,@JayantKumar-nd8le,Judo this boot is already in null mode,0
43,@vanshpatel9162,"Judo, Why dont they add more decoration items in shop. It feels kinda like forgotten feature.",0
44,@Meethejarate,And yet cookie still can kill walls,0
45,@SleepyPaul,We need more methods to get starry ore.,1
46,@PraydShecan,Hi can I ask if I can still get the electro boots even if I still don't have the rc? I'm still at th12 and I want to get the equipment for the rc.,0
47,@junjun-cr8id,Today is 11/12 but I still not seeing the reindeer ,0
48,@gavinator1775,There was no video at the end so he was just pointing up for no reason,0
49,@supermannygamer2003,So no C.o.o.k.i.e puppet for minion prince,0
50,@Xyz04,COGS ️,0
51,@lilk8981,why is my judosloth on i think spanish?,0
52,@christiannieves5762,Does anyone know when are we getting the gem bundles  I want to buy all the gem bundles this year 500 dollars I wish I can buy the same pack multiple times just for the x más bundles,0
53,@spacelight5254,I’m getting back into your videos and coc and want to know your thoughts on merging that eagle with the town hall? If I should or shouldn’t,0
54,@Elnotronic,"what a cog sucka, that goblin",1
55,@ELITE_TIGER,Please can you dub your video in Hindi also ,0
56,@tacobender1643,"10,400 damage......................................................",0
57,@claseofclane1257,Judo brother. 2013 troops icon is good,0
58,@OutragedOctopus,Hopefully we get some events that give us significantly more shiny ore sometime soon!,0
59,@Typic1ttv,The cookie troop bouta become apart of everyone's army with that damage holy ,0
60,@thestraightgentleman,10400 dps is insanity,0
61,@zacharyklippenstein268,"Apparently this event was delayed due to bugs, I can't find that reindeer on my map & makes me sad judo has it somehow lol",0
62,@BadChess56,Mine isnt appearing...,0
63,@leannakern2254,Judo question can you stilll buy the gingerbread hero skins from last year???¿,0
64,@shreyash8294,"But in HyDra attacks, I generally only use RC for cleanup from one side in the relatively end of the attack. Is it even worth it?",0
65,@pikarizardcharikachu2573,inhales Y'ALL GUYS ARE TOO EARLY! CALM DOWN CONTENT CREATORS! or Supercell is 1 day late lmao xD,1
66,@pauldeasis8238,Judo you’re kinda zesty aren’t you?,0
67,@prithbirajbhattacharjee4584,Me who has all of the equipments,0
68,@sp3frost509,why does it feel like this was just yesterday,0
69,@plicqtren2021,Is the electro boot equipment limited time if you buy it? Also for other equipment like the frozen arrow do you keep it permanently when you buy it?,0
70,@_Whyro_,Really weird how ram rider herself isn't in the game but a variant of her is,0
71,@jakepschirrer9150,Snow?,1
72,@flaviokabashi6614,Will the rocket spear be in it aswell?,0
73,@KhanhVo-om1bj,.,0
74,@Dmon.C,They missed the opportunity to make seige machine called snowball launcher,1
75,@BigBisalreadytaken,How many hours a day do you put into this?,0
76,@Whitemamba06,"Fox,Haste and Electro Boots"" Is it good? ",0
77,@deleted-something,I thought they killed electro boots,0
78,@GrantCoffman-ck3gu,Under one day gang,0
79,@Mr.Flip18,judo i have a curios question. in builder base attacking when i hold down on a troop its appears to be raged. what exactly is happening??,0
80,@trevorbarrows8446,7:25 its over nine THOUSAAAAAAND!!!!!!,0
81,@detective_rainaway1593,bruh where is the grand warden torch? been waiting for it to be released since it was leaked.,0
82,@Rickby,Of course the old equipment in the shop are ALL ones that I already have,1
83,@youtubecount9856,i miss christmas music in coc :(((,1
84,@PujaDas-ab,I love coc ,0
85,@shubhamyadav208,Why is it in epic category 🥲,0
86,@marounharfouch6533,they need to add more ways to farm for stars to upg equipment...,0
87,@EnriqueGarcia-zh6ie,I wish they were bringing back last years gingerbread skins. I wasn’t able to get the RC because I didn’t have her unlocked at the time.,0
88,@nobodycares1065,I have the electro boots in Nulks clash dawg. THEY SUCK. WHY WOULD THEY ADD THAT GARBAGE ,0
89,@Jonthefrog,"Honestly like how judo suggests that you can use the code for creators instead then giving his code instead of ""when you purchase items use code judo"" idk such a minor thing but I like it",1
90,@heroflamemaster,Lets face it. the electro boots was released due to the skeleton trap giving the champion a hard time to defeat,0
91,@potatopotpie6108,Not a big fan that I need to buy the pass just to afford both cosmetic buildings. I wish I could get those two,0
92,@Menon9767,"We are so back, let's go COOKIE",0
93,@heezawk3611,"Can you please Tell us how much starry, shiny, and glowy ore we will get when we have the event pass. Something you use to do but you didnt do it in this video",0
94,@DilanRodas-w3x,10:54 “get out” ,0
95,@NICELANDERTheboys,"Air defense is not useless goga arrow one shot,santa spell one shot",0
96,@williamchen3561,Why can’t they make it to 9300 then we can buy three skills…,0
97,@venomronin,I am TH12 Nearly maxed should I buy these boots? Because I don't have RC right now so I'm confused a little bit please somebody help me,0
98,@Duckblocky,"Wow very cool event, thank you for sharing your thoughts judo",0
99,@TobiasGorilla-n2d,Decorations,0
100,@ethan.h.official,when it stacks is it 30% off the discounted prices or 30% plus 20%,0
101,@your1heelinamerica644,My favorite troops are back ,0
102,@offensegaminghd1096,This is huge,0
103,@asheeshch4486,I don't have spiky ball or fireball. Should I choose electric boots or one them?,0
104,@lelandsmith3827,How long will it take for someone in legends league to complete the event?,0
105,@teeheewarudo3616,13:35 “protect from the poison of the TH.”  bro is living in the past,2
106,@thatsGQ,It’s best to buy the pass and just buy 3 equipments tbh,0
107,@franklyunfrank9322,Is this pc only?,0
108,@franklyunfrank9322,Why do i only have a normal season? Lvl 14 TH. I don't have any of this:(,0
109,@carlosgironjr.,Supercell adding old equipments back for f2p’s is amazing. Although it’s a shame we can’t get both decorations in the shop as a f2p,0
110,@rottenfox4750,THE COOKIE IS MY ABSOLUTE FAVOURITE TEMPORARY TROOP,0
111,@MatthewD-s8h,"I was wondering when this video would come out, judo. But it was worth the wait. Love the videos, keep it up judo.           P.S. use code judo in clash of clans",0
112,@AKayani559,Crazy how the last time the ice wizard was in clash was almost 10 years ago,0
113,@alexandervrabac1776,Electro titan lowkey should’ve just been a hero in the first place instead of the royal champion,0
114,@ethanwells3998,How much is the pass,0
115,@cha0541,the bonus track shouldn’t have a limit,1
116,@NiaGeeh,Cant wait to max it over the course of 5 months for it to get nerfed ,1
117,@human_fish3442,what happends if I dont have the royal champion yet... can I still buy the boots or not? and if I do do I get to use it when I unlock her*,0
118,@XOTWODXOX,ehmm JUDO COLLECT WHAT??!,1
119,@Mor.1234,What should i get for the event the BK glove or the AQ ice arrow I don't have AQ now but im th7 and i am half way to town hall 8 what it's the best?,0
120,@Littleloaf453,Im happy to see the cookie back but I'm upset we didn't get new troops,0
121,@NightDawnDusk,Okay. This time I will definitely use code JUDO when I get the pass,0
122,@Voltprime99,Im soooo happy they are bringing back the equipment from previous events!,0
123,@mynameisandrew9878,No big of frostmites?,0
124,@Goしden,Why didn't he show it to me this event ???,1
125,@nazlpartygeneral533,We need super electric dragon and make it one shot everything,0
126,@ryanlefke4416,My only complaint is that you can’t buy 3 different epic equipments in the event. 3250 medals… 50 short…,0
127,@zoltanvari-vb9vm,Man i need spikie ball for my king i was on holiday and missed that event,0
128,@yurimechan,what's the best equipment for a town hall level 11?,0
129,@AvyangShang,"im a f2p and im doing great with new equipment even with the new hero prince minion, the violet ore is easy, only the star ore but with level 20plus legendary item you can dominate the game as long as you know what you are doing. also even with regular items still a good choice with a combination of proper troops, its up to your strategy.",0
130,@heithemghasali9371,Anyone is a ”collector” if they have enough money lol,0
131,@AsrielDremurr1,As a f2p if you buy any equipment you cant even get the cheaper decoration. I remember when you could get a equipment and a decoration. From the last 3 events its the same trend... Guess we are never getting any decorations ever again in future,0
132,@im_an_idiot2148,Am i the only one who didn’t get the event?,0
133,@BobderBenchpresser,I hate the 3x3 Decorations! Theo take so much space,0
134,@horyelaguilar9044,Collect the deers bananas? ,0
135,@MajidKhalid-j2r,Judo please update the best base for each townhall,1
136,@Nols009,"At 7:26, especially with the slight pause, I expected Judo to say: ""It's over.. 9000!"" ",0
137,@itsameekay450,And of course the max amount of cogs you can get with the gold pass is just 50 short of being able to buy 3 pieces of equipment. Supercell knew exactly what they were doing and I hate them for this.,0
138,@helgywolf2111,"Keep up the great work, man. You are my go-to COC channel",1
139,@aneesma295,when?,0
140,@gameonswitch4870,Thanks for the tips sir judo! This event will make the old players to play again. That's for sure. ,0
141,@earlcabanas,"Hello everyone repent for your sins for the kingdom of heaven has come near, know and follow Jesus Christ our Lord and Savior.",1
142,@JMS-6300,Wished they added the blacksmith at town hall 7 so we can start saving up the ores instead of losing them,0
143,@masonliang4493,I'm debating between fireball and the boots what do you guys think I should get?,0
144,@mohsendwt8011,I love you man you best,1
145,@Zyrexia,"Ngl, Judo if you are taking community feedback, we need more Ores and/or upgrade price discounts (at least for lower levels, say like till 75% of the upgrades) SC keeps releasing new equipments and its becoming difficult for f2p players to keep up with new meta. Say if we want to use a strategy involving the specific equipment that recently got into meta, we have to prepare for at least an entire month to get enough ores to get them upgraded to a usable level...We really enjoyed the ores only event we had, we would love another one after this one",5
146,@carlosjohntungal4214,"As i F2P player, i see this as win-win situation.",0
147,@madaaa12,Do you suggest getting the new electric boots or the other older limited hero equipments like the ice-arrow or the fireball?,0
148,@alvinipanda4955,Judo's next video is : I MAXED THE ROYAL CHAMPIONS ELECTRO BOOTS FOR WAR ,1
149,@Vadim-lw2hl,,0
150,@jeamesch,Hello sir can you please answer me ..... At last event I purchased rocket spear when my th was 9 and still now I'm in th 12 can I get when I got royal champ ....... I'm still thinking of that bcoz I'm f2p players... Please answer me I'll waiting you,0
151,@linenwalnut3646,Judos vids popping up on my fyp made me return to the game,0
152,@vluntkyu00101,"Just got back in COC again, last time I watched you, you're at 1M subs. I miss your JUDO intro bro ",0
153,@BillCalahan,FORTY THREE TIMES a Valkyrie  Had to play that over a few times to make sure i hadn't misheard you ,0
154,@דןניבש,im always using code judo,1
155,@gernizzle,why is the cookie back ffs,0
156,@jonmendelson1104,But are they ever going to fix the lab assistant and builder's apprentice?,0
157,@wslunroulenanal8618,Ah yess collectings the COGS️,0
158,@honey737,hello judo do you have any attack strategy for th11 my king is level 47 and queen is 44 and grand wared is 20 and prince is 22 so got any attack strategy pls  reply,0
159,@Citizen-pg8eu,I never knew that you could tap a building and the Santa Spell would damage it. Thought they dropped presents!,0
160,@kevinswails276,I already have all three pieces of that equipment why couldn't it have been the spiky ball magic mirror or rocket spear,1
161,@whereismyemilia1896,Cogs sound pretty weird ,0
162,@mattroger6801,judo convince them to give new clan perks for higher lvls,0
163,@mdshohankhan7069,My ID has been hacked. Can you help me?,0
164,@jamescameron6183,Cookie spam is back !!!,1
165,@deadly-boy,ples can u make video about how to 3 star any base because town hall 17 came out,0
166,@cesarz95,When I want to buy missed epic equipment. I can't buy new epic equipment. Good job supercell,0
167,@mms2409,"question, Should I get the fie ball or the new boots?",0
168,@Ultimate_ACERACER,"Now I'm even more confused about my Champion. From the leaks, I always knew Electro Boots can be paired with Rocket Spear, which I have to buy. But how will I upgrade so many Epics ",0
169,@seen213,"So 9300 for 3 epic equipments, but you get only 9250. Lol",0
170,@matteo4521,"To me, skeleton traps are the worst enemy of RC, I'll be definitely using it.",0
171,@thenorthking4478,"As a th12 Player, should I go for this New abillity? It would be my first purchased one. Or should I go for the giant babarian King, the grand warden fireball etc?",0
172,@lucasbosier6808,It would’ve been nice to get more cookie troops,0
173,@FloppyFishArt,The new piece of equipment should've been for the new minion kind guy not royal champ...,1
174,@nadeemshaikh8209,THANKS FOR YOUR FINANCIAL SUPPORT FOR USING CODE OJ,0
175,@shamungoupurnima9311,Thanks for your information️,0
176,@JoBoy78,I want those decorations but I want to upgrade that epic equipment too,1
177,@Mycatsveaissocute,Whenever Ice wizard is back everyone knows that it’s a good Christmas,0
178,@vladimirputin6,"How much is the event pass, please help, I'm a beginner",0
179,@MyroSenpai,Collectin what?,0
180,@GameReplay_O,Is it just me or does the ice wizard resemble judo to some extent?,0
181,@notalmasxx,i hope they add shovel in the raid shop too cuz i have so many decors on my base and i don't have enough space to put them.,0
182,@flyeditz3666,Judo i have a question do we get magic mirror and rocket spear in event pass? I m confused ,1
183,@Abdulrehman_006.,"So what you recommend judo or anyone else, is electro boots good in comparison to giant gauntlet . I am f2p so i dont know what to do . Both are tempting.",0
184,@mohdqasimshaikh4192,Super electro dragon,0
185,@muhaiminrafid3830,People without royal champion: ,0
186,@NimeshRai-kw3xg,I have rushed townhall 13 with zero epic equipment.Should i buy gaint guanlet or upgrade my hero hall and get the new equipment,0
187,@rabikantashagolsem8838,So they just gave electro titan ability to royal champion,0
188,@Revchje,Ill probably be using the C.O.O.K.I.E to push my th13 furrher in legend leqgue,0
189,@AngirlSanity,If i get an epic equipment for a hero I don't have then what will happen to the equipment? Will I automatically get it when I get the hero?,0
190,@ParlayCard,Why can't gogo muffin be food?,0
191,@conganator9390,7:58  th15 is considered lower th lvl ?,3
192,@aljihanmontasim6557,"This new epic equipment will surely broke coc, and then again, they will  nerf it",1
193,@mohammedwalid2522,What is the point of air defense if they keep adding stuff that 1 shot them,0
194,@fundomk1,"7:26 anyone else heard ""IT'S OVER 9000!"" in your heads? What a missed chance Judo",1
195,@sillygoober752,I have a question: should i get the electro boots or the fireball (im th12),0
196,@Rayxem,Imagine getting a judo troop for a event . ,0
197,@n4z64,when i sthe bases videos with the new buildings the old videos are useless pls new base video,0
198,@gamsuuu29,"It's gonna be my first time playing this event, I'm at TH13 and I don't know what attack strategy is good with these event troops and spell. Any suggestions? Thanks ",1
199,@tydenney4818,Can you please find out the timeline for getting chat translation in the game chat?,1
200,@DonPasqual,Collecting what now,0
201,@syedobaid135,"When does the ""best bases for each townhall"" video coming?",2
202,@skjim6565,Vote for ice wiz make it permanent,0
203,@ARMAN_3301,Classic ENJOY THE REST OF YOUR DAY,0
204,@user-cf5or3hf5m,Th17 no eagle made the game so easy and boring we need it back who’s with me like my comment,0
205,@MrNooba,"Great, I can get fireball and Spiky ball too!",0
206,@firedisco3279,C.O.O.K.I.E returns with the spin of death ,0
207,@emre_ez,I'm th11 and i dont have the fireball but i still think i might get the electro boots,0
208,@arm.o93,️,0
209,@supernovanetworkYT,"Judo, what are your thoughts on some sort of ""Builder Base Forge"" That you funnel Builder resources into for Ores? That way Builder Base has another near endless use",0
210,@king_of_prank0352,Will the old equipments come back in the upcoming events in next months?,0
211,@E1ns_2wei,I'd love for some more legendary skins in these kinds of events.,0
212,@Grandizer8989,Bring back the Santa Stuka,0
213,@abdullagamer4928,I will use ice wizard at low th because (golem or giant)  and ice wizard is so powerfulplease pin me,1
214,@VC13267,This equipment was already leaked in null clash private server for about few months ago and warden also had a new equipment named like torch or something. How can this be leaked? On null clash which is a private mod type server,0
215,@UnitiveBaton,I got all those hero equipment,0
216,@NOMORESKILL-123,Santa spell is amazing,0
217,@lsunix,They should add 50 more toy medals so that people who bought the event pass can get 3 epic equipment and not be short on the last one,0
218,@adityasuchak,Bought toy scenery with your code 'judo'. :),1
219,@Peter-rm7ye,I'm a TH10 player and I don’t have the fireball....so plz tell me which one I should choose between fireball and electro bootsI already have the lavaloon puppet for the warden.,0
220,@chrisbeach423,Clan Capital update soon ?!?,0
221,@SabbirShake-xe5dy,Hope you keep this favor of mine ,0
222,@alexfurious2121,A 4x star bonus even would be amazing during this event. Best way to get some extra ores whilst attacking.,0
223,@SabbirShake-xe5dy,Judo I like your videos and information but it would be better if you add Bengali language to your audio track ! Love from Bangladesh 🥰️,0
224,@Pq5566,can supercell do the same thing on past decorations like what they did on past hero equipment relist in event shop.,1
225,@Wavinto,"So sad that f2p can only get one equipment. With the cadence of being able to buy one every event and a new one releasing, you're actually NOT catching up, you only have the choice between the newest one and some of the older ones. Really only makes sense for players that won't have the hero that the new equipment is for unlocked for a while",1
226,@yutubnyasigit,For cleaning skeleton trap nice item,0
227,@manoflead2728,Why can we have them in our siege machines I’d love to have a cookie in my blimp ,0
228,@timi3568,Electro boots look so broken tf,0
229,@mojtabamortezaie562,Should legend league players go down with the trophies to attack more than 8?,0
230,@shakirjahangeer0562,That is so far the best equipment,0
231,@D99-n8r,Stop upgrade attack,0
232,@harshgupta6323,"I didn't liked minion prince. I really thought the new hero would be ""CODE JUDO"" ",0
233,@majesty1225,They should bring back royal ghost,0
234,@magicsurvivalguy,.,0
235,@blutix1154,I buy miroir and spiky ball on many advice and now i will take fire ball,0
236,@neru1773,Cogs,0
237,@flashagar,‘I maxed electro boots for war’ Incoming,2
238,@harshgupta6323,When we seeing Judo troop in clash ???,0
239,@Robin-h8h,1:29 Two million of each but storages were full What a waste of resources ,1
240,@khalid_3838,his voice is annoying,0
241,@PICCHIFz,Judo this time give 300covs,0
242,@mrpp296,"You surely are the ""Linus"" of CoC ",0
243,@Parke-rrr,From now on RC is OP,0
244,@nikolastsaggari4849,Why 9250 for the event pass??? 50 more and you would've been able to buy 3 hero equipment ,0
245,@DakkaScrappa,man they really added the Gunboats to Clash of Clans huh,1
246,@SimplyUnst4ble,Oh no...0:49 its BACK.,0
247,@nizamuddinrana11,12:30 root rider?Lower town hall?Like9? ,0
248,@rsmrajput3513,Why you forgot your old intro?,0
249,@josemeza5105,I seen someone leak this when the mirror was being reviewed,1
250,@ASHKOR769,I am a returning player. I'm happy to see old equipment return.,0
251,@yashkalyania2794,great now COC wants us to collect cougars,0
252,@chiragkukreja1227,Minion prince is the worst hero in coc history,1
253,@ENDofLIGHTcodm,I don't have  the royal champion but if I buy the new equipment will i still have it when I unlock the rc,0
254,@WiZ-KiD,Petition to find out the costs for the hero skins in the CWL shop....I tried working it out and got above $500USD,0
255,@SixEightLiftsWeight,bullshit! you don’t buy the decorations!,0
256,@vatsiuuu,Do you have any kind of early access??,0
257,@eugenew6717,"Pass on boots,,I'm not even using the champion anymore since minion king",0
258,@rsmrajput3513,Bro your background music is just awesome,0
259,@bhupenderthakur179,Those who play coc Those who play null chash️,1
260,@AbdulHadi003,Rewards are below the par lvl… old equipment same value as new one ? They should be cheaper than new on and atleast should give enough medals to buy atleast 2 of old equipments…it looks like just super$ell wants to sell more event passes,0
261,@SiMd882,Keep it up you’re so good  my favourite ytber,0
262,@VerziiUHC,Judo my friend? Can i ask you something that i have been wondering? Will it be a layout for TH17 soon bro?,1
263,@a.svicki815,The reason behinf supercell increasing only 400 hp for th is they need cookie to one shot each and every building....,0
264,@mabusidlamini2291,hi judo my name is lwazi i'm using my moms laptop love you videos your the best judo pls ask the creaters to add the other eqioupment in an event again,0
265,@joseeduardoromerovelazquez9233,Judo mas traducción al español por favor ,0
266,@BillCipher45987,bruh cookie is back ,5
267,@Tech_Playz12353,bro i should use ur code if i could buy something 🥲🥲,0
268,@abdulmueed2941,respect to this channel,0
269,@maheshshrestha5429,2 lackluster equipments in a row.I said this because lavaloon pupppet sucks and i feel like th aurs of e boots    will too the healing iss also lackluster.,0
270,@McMan2iq0,I also wish you to enjoy the rest of your day,0
271,@eb-ji9wg,Where is my bag frostmites spell,0
272,@30125aft,I remember the troops get added before too,0
273,@pedrominecraft2016,Did they decrease the amount of ores you get in the event? I could swear it was more,0
274,@ALin-c7p,What is the best combination with electric boots?,1
275,@firozmahmud1859,How much event pass cost to purchase?,0
276,@Negi-i4v5u,Oh Santa spell 2016,0
277,@poke-man7333,4:45 lavaloon puppet left the chat ,0
278,@alexd.5970,"Alfin podre comprar la bola de fuego, me perdi ese evento y las gemas me cuesta conseguirlas ",0
279,@mildex9045,"Just imagine Cookie in clan castle  Blimp with them, and the center of base would vanish ",0
280,@justinthomas2874,Judo is maxed on go go muffin only played 8 hours ,0
281,@kanchanchaudhary8069,Thank you judo for help,0
282,@muhammedishan5546,we hadnt get this update yet,0
283,@nuttynaylor6011,Bring back Christmas  trees also! I deleted my white ones and 2012 one by accident ,0
284,@TheOneSoulMate_,Thanks for sharing! Love this channel.,0
285,@killergooglefrost,Where is this event I cant see it in my id,0
286,@rahulchaudhari9710,my id is hacked please help me ,0
287,@mohamadghasabi6854,Your instructions are amazing.,0
288,@theliving1037,"When are they going to buff any easier to attack army? Whenever I try the one shot all bases so easily with this army, I somehow don't. I will say I don't have all max hero equipment because I don't spend 20k usd on it.",0
289,@gopi_blogs,Any day limit available for token collect?,1
290,@h0llyn1gga,decorations look awesome,1
291,@chirag0690,Chirag,0
292,@ractheraccoon,"why is the cookie so broken!? XD10,400 dps is absolutely insane",0
293,@SurgeFYSB,electro boots have been leaked like a year ago real ones know wassup ,1
294,@Shorta_youtube,Judo the goat ill use the electro boots i use dragon attacks is it good?,0
295,@dustinlarsen3245,The cookie is OVER 9000!!!!!,0
296,@platinumremixhd1790,YESSSSSSSSSS!!! Thank you Supercell for re-releasing equipment!!!,0
297,@chandankumar.u4548,I think qc hybrid is going to be powerful in this meta... the electroboots with the hog rider puppets synchronize very well for rc when used with hybrid.,0
298,@claireluther7678,Why are we collecting cost of goods sold ,0
299,@NiladriGuhaRoy,Does electroboots worth ?,0
300,@Panda-yf6ds,The armour of cox,0
301,@AKAgameSHhhh,"Judo i would love if you make videos showing attack strategies with the new troops and spells for the lower town halls (9,10,11).",1
302,@abdullahamin5494,Hello! I am th 12 and recently redownloaded the game. I dont have any epic equipment and i wont upgrade to th13 for about 2 months bcs i need to max out my TH. So which equipment is best for me? Is it the fireball? And should i prefer spiky ball over giant gauntlet later??,0
303,@ImperialReaperッ,How can I join your membership?,0
304,@beratcantemur4920,ı get a question ı dont have any epic equipment which one should ı try to get first ? ıam th 12 maxed ıam upgradıng heros for next th,0
305,@lemonade6945,When will the snow fall? 🥲🥲,1
306,@PradipSaha-z2m,Collecting what ? 0:58  ,0
307,@s.pranavranjan4514,so like can you unlock 3 epic equipment since you need 9300 but you only get 9250 even with the event pass ?,0
308,@AliSinA-7a,Sad for ppls that is below th 13 bcz the new power equipment ,1
309,@swetankpriye3710,"Hi Judo , I am th14 with no special hero equipment  means only equipment that we get with the heros. According to you , what would be the one  best hero equipment to buy from this event?",1
310,@Nako1997,How many medals do we have without the event pass? You didn't say it this time,1
311,@Peponlikespeson3684,These events is what got me back into COC,6
312,@belmontsoh,love this video judo! could you possibly make a video or short showcasing the strats you would use for each of the event troops?,2
313,@notSARFA,As f2p I really want to get the Giant Gauntlet. Recently I have also grown a liking to special decorations but with 3750 medals only it's impossible to atleast get the 1050medal decoration. They could have maybe made the bonus track a bit more difficult and gave 1050 medals for a chance to get atleast one decoration ,0
314,@FelipeM741,"If you could pick either the electro boots or the fireball, which would you pick?",0
315,@justindallaire4904,Why didn’t they put all the epic equipment all Im missing is the rocket spear and magic mirror,0
316,@塔芒森,How many medals do I get if I buy the event pass?,0
317,@donmujtaba,The electro boots seem game-changing for the RC whose only major problem is skelly traps and skelletons from witches .,0
318,@RIFADUL_AMIN,Now people will say this isn't that powerful but in time they will understand Just like the rocket spear,0
319,@gauravdhanraja1968,"I just reached legends league as a th11, all my opponents are like th15 and above. How can i complete this event now?",0
320,@AminulHakimshafin,WHO IS TH11 LIKE ,0
321,@ThijmenvanGrinsven,Those deco’s are waaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaay to expensive,0
322,@Ze_Carrot,I really hope that we will get more events for the equipment,0
323,@Slanderman-x9w,"When you said the event troops could not be donated, can you use raid medals to get them in the clan castle?",0
324,@姚力瑋-p6p,4:37 Electro Titan: “Why did RC steal my boots and have aura damage even higher than me?”,3
325,@jenicek1432,are you kidding me I literary just bought the last epic equipment and I am f2p,0
326,@hsscreations,Hi judo waiting for your video boy ,0
327,@TKM-Dono,Finally my Royal Champion can survive longer with Electro Boots and Gem,0
328,@donmujtaba,'Collect cogs and fill my rocking reindeer.' Seems wrong for some reason,0
329,@pavanmohan.p3262,Clash royale troops ,1
330,@donmujtaba,The outline of the electro boots   ring would have been more cool had it been the same lightening blue colour as is in the picture .,0
331,@Sanjiluffy14,How much will the pass be,0
332,@rhonthungokhuvung9995,Santa Surprise took 24 hours back then......Thank goodness they made it less time to brew,0
333,@Skibidi_b0b_,I can finally have fireball,0
334,@Zorioy,"This is totally off topic but me being a noob editor, Judo's editor blows my mind",4
335,@Joeblow-k2n,3 star you look for buildings on the outside to complete it faster it’s got nothing to do with stars,0
336,@someonerational,I just wish King's spikey ball  was in the shop too,0
337,@WasantiAbekoon,Iam going to push my rank,1
338,@spandandas7290,​@JudoSloth  but they have stopped given 4× loot event or 2× they have completely stopped any other way of getting oreshow can someone catch up when a new hero is also introduced?,0
